Name,Location,Rank,Name_2,Rank_2
Ashland University,"Ashland, OH",217,Florida International University,218
Dallas Baptist University,"Dallas, TX",218,Gannon University (PA),218
Northern Illinois University,"DeKalb, IL",219,Hampton University (VA),218
Nova Southeastern University,"Ft. Lauderdale, FL",220,Lipscomb University (TN),218
Southern Illinois University--Carbondale,"Carbondale, IL",221,Sacred Heart University (CT),218
University of Montana,"Missoula, MT",222,Texas Tech University,218
Benedictine University,"Lisle, IL",223,Univ. of Massachusetts--Dartmouth,218
California State University--Fresno,"Fresno, CA",224,University of New Mexico,218
Gardner-Webb University,"Boiling Springs, NC",225,Western New England University (MA),218
New Mexico State University,"Las Cruces, NM",226,Azusa Pacific University (CA),228
Shenandoah University,"Winchester, VA",227,CUNY--City College,228
Tennessee Tech University,"Cookeville, TN",228,East Carolina University (NC),228
University of Massachusetts--Boston,"Boston, MA",229,Grand Valley State University (MI),228
University of Massachusetts--Dartmouth,"North Dartmouth, MA",230,Indiana University-Purdue University--Indianapolis,228
University of Missouri--St. Louis,"St. Louis, MO",231,The Sage Colleges (NY),228
University of North Carolina--Greensboro,"Greensboro, NC",232,St. Catherine University (MN),228
University of Southern Mississippi,"Hattiesburg, MS",233,University of Indianapolis,228
Utah State University,"Logan, UT",234,Univ. of Massachusetts--Boston,228
Cleveland State University,"Cleveland, OH",235,U. of North Carolina--Charlotte,228
Southwest Minnesota State University,MN,236,University of Wyoming,228
Salem University,MN,237,West Virginia University,228
University of North Texas,DC,238,Central Michigan University,240
Bay Atlantic University,DC,239,Harding University (AR),240
Westcliff University,DC,240,Long Island University (NY),240
St. cloud state university,DC,241,Oklahoma City University,240
Minnesota State University Mankato,DC,242,University of Findlay (OH),240
Loyola University,IL,243,University of Nevada--Reno,240
University of illinios urabana champaign,IL,244,Bowling Green State University (OH),246
New Mexico Highland University,IL,245,George Fox University (OR),246
University of North Alabama,AB,246,Lesley University (MA),246
University of Texas Arlington,IL,247,Montana State University,246
UT Arlington University,IL,248,Nova Southeastern University (FL),246
Lamar University,IL,249,University of New England (ME),246
University of New Haven,IL,1000,Wayne State University (MI),246
Full Sail University,IL,1300,Western Michigan University,246
University of Bridgeport,IL,252,Baker University (KS),254
Gannon University,IL,1200,College of St. Scholastica (MN),254
"California State University, Northridge",IL,254,D'Youville College (NY),254
Troy University ,IL,255,Florida A&M University,254
University of Massachusetts,IL,256,Lincoln Memorial University (TN),254
University of South Alabama,IL,257,Southern Illinois University--Carbondale,254
University of Louisiana at Monroe,il,258,University of Colorado--Denver,254
UMass Boston University,IL,259,University of Montana,254
miu university,IL,1240,Utah State University,254
Maharishi International University,IL,1240,Daemen College (NY),263
University of Potomac,IL,1422,New Mexico State University,263
Saint Paul State University,IL,1532,Old Dominion University (VA),263
University of Michigan-Flint,il,350,Shenandoah University (VA),263
XYZ University ,IL,1000,University of Alabama--Huntsville,263
Indiana Institute of Tech,IL,250,University of Alaska--Fairbanks,263
Rowan University,IL,194,Univ. of Missouri--Kansas City,263
Told University,IL,200,University of North Dakota,263
iit chicago university,IL,127,University of South Dakota,263
Miami University,AA,105,Campbell University (NC),272
Missouri State University,AA,370,Keiser University (FL),272
Caltech university,CA,20,Louisiana Tech University,272
RPI University,VA,900,Mary Baldwin University (VA),272
University of Cumberlands,KA,600,South Dakota State University,272
Top 20 Grad Program University,"Ashland, OH",700,Tennessee Technological Univ.,272
"Wichita State University, Indiana Institute of...",a,700,University of Memphis,272
"Wichita State University, Indiana Institute of...","Ashland, OH",700,U. of North Carolina--Greensboro,272
Chatham University,BA,800,University of the Incarnate Word (TX),272
Youngstown State University,,800,Concordia University Wisconsin,281
St. Thomas University,,800,Dallas Baptist University,281
New York Institute of Technology,,450,Florida Atlantic University,281
,,,Gardner-Webb University (NC),281
,,,North Carolina A&T State Univ.,281
,,,North Dakota State University,281
,,,Regent University (VA),281
,,,Sam Houston State University (TX),281
,,,Univ. of Missouri--St. Louis,281
,,,University of North Florida,281
,,,University of North Texas,281
,,,William Carey University (MS),281
,,,Andrews University (MI),350
,,,Arkansas State University,350
,,,Augusta University (GA),350
,,,Aurora University (IL),350
,,,Barry University (FL),350
,,,Benedictine University (IL),350
,,,Boise State University (ID),350
,,,Cardinal Stritch University (WI),350
,,,Carson-Newman University (TN),350
,,,Clark Atlanta University,350
,,,Cleveland State University,350
,,,Delaware State University,350
,,,Eastern Michigan University,350
,,,East Tennessee State University,350
,,,Ferris State University (MI),350
,,,Georgia Southern University,350
,,,Grand Canyon University (AZ),350
,,,Husson University (ME),350
,,,Indiana State University,350
,,,Indiana Univ. of Pennsylvania,350
,,,Jackson State University (MS),350
,,,Kennesaw State University (GA),350
,,,Lamar University (TX),350
,,,Liberty University (VA),350
,,,Lindenwood University (MO),350
,,,Marshall University (WV),350
,,,Metropolitan State University (MN),350
